,open,high,low,close,volume
2025-06-21,0.12467858163232926,0.030005950759981914,0.12923965035403828,0.062181539194158475,0.3704754960631766
2025-06-22,0.06233664539750006,0.0,0.0,0.0,0.8875099221579106
2025-06-23,0.0,0.13391731469434198,0.06990023216414709,0.23317018968755843,0.8280223718759153
2025-06-24,0.23320952773985937,0.14595499611687668,0.3106800334007467,0.2722241329135695,0.5452829763261017
2025-06-25,0.27227177973185945,0.23870616357529695,0.36835906767512494,0.3379084102754044,0.5261805361094732
2025-06-26,0.3379522343206034,0.24677499067041797,0.40343467789034726,0.3181883118601023,0.36195551147470917
2025-06-27,0.31823328359946146,0.21913925786962718,0.39523894565621376,0.32301383634487735,0.3628634712857726
2025-06-28,0.3230796905918325,0.20957769776190815,0.41596478441555984,0.33617291462737153,0.07389733679979614
2025-06-29,0.33621154883971904,0.25933210283720065,0.4334760426873121,0.3921955607291201,0.16547146448813965
2025-06-30,0.39223093446768864,0.2724943770361179,0.4126102297025307,0.3275642212756953,0.274667514666117
2025-07-01,0.32760864734452877,0.20935076199985758,0.3403207823111192,0.25074208312389334,0.33826777915641815
2025-07-02,0.25078568934319545,0.3204030379134011,0.33360201949020496,0.4174554882404298,0.5000261426056012
2025-07-03,0.41748939187115663,0.35968813983277315,0.4989695000989478,0.4573771792904573,0.32800879401768757
2025-07-04,0.45741405034760785,0.3218049966211787,0.43765113596324046,0.37229556337469294,0.1947765709874047
2025-07-05,0.3723373861147259,0.2539713758358797,0.46151432805131787,0.3836344876848594,0.0
2025-07-06,0.3836756505084491,0.31886996076532803,0.4641207446628801,0.4366993835815771,0.07713396662173687
2025-07-07,0.43673216723278596,0.3182799277839967,0.4497564931147169,0.3869361623323373,0.14144100802890536
2025-07-08,0.3869718421637405,0.2936145319575978,0.44564897360279154,0.42206407576920046,0.15641723907053817
2025-07-09,0.4220977111837714,0.43387091893854546,0.48966845415361426,0.5444641392629439,0.4104488081974923
2025-07-10,0.5444906510904417,0.7136675844957479,0.594456055333259,0.7972009841530197,0.850120254105962
2025-07-11,0.7972180777329818,0.7802253219966309,0.8214894222925855,0.8779650255297762,0.6695447716359018
2025-07-12,0.8779668370316287,0.7480760890395066,0.9039535478639458,0.8723987407074265,0.39438674783809624
2025-07-13,0.8724537845359404,0.81209718902236,0.9187184152987005,0.9601735495648036,0.19107361971743902
2025-07-14,0.960170576595452,1.0,1.0,1.0,0.7690274075800526
2025-07-15,1.0,0.8347907652273889,0.8465206751584367,0.8890975951744755,1.0
2025-07-16,0.8890987587695633,0.8408070844301889,0.9088574724516247,0.9355009391782856,0.4010293613155842
2025-07-17,0.9355046929727093,0.8848074071832732,0.9294095501035331,0.9645122886848867,0.4275405628545309
2025-07-18,0.964514354041671,0.8788011740143418,0.8988565553791128,0.8986904415460728,0.5468979947330789
2025-07-19,0.8987016285197296,0.7612635783230957,0.9209097359313834,0.8936215243789523,0.16456197251633353
2025-07-20,0.893633006359587,0.7801194186410072,0.8820113813525374,0.8630334135823707,0.2190430884621759
